ZXYGOAU4DATA ABERTURA FECHAMENTO VARIAO MNIMO MXIMO VOLUME
09/04/2024 10.90 10.77 0.55 10.65 11.02 63.70M
08/04/2024 10.64 10.83 2.07 10.61 10.87 77.89M
05/04/2024 10.74 10.61 1.21 10.53 10.76 105.78M
04/04/2024 10.56 10.74 1.80 10.51 10.87 208.09M
03/04/2024 10.47 10.55 0.48 10.37 10.56 109.31M
02/04/2024 10.38 10.50 1.45 10.31 10.50 107.71M
01/04/2024 10.34 10.35 0.58 10.24 10.35 42.93M
28/03/2024 10.20 10.29 0.78 10.11 10.33 52.20M
27/03/2024 10.07 10.21 1.49 10.01 10.27 58.53M
26/03/2024 10.05 10.06 0.10 9.96 10.09 100.16M
25/03/2024 10.07 10.07 0.00 10.01 10.14 43.52M
22/03/2024 10.22 10.07 1.56 10.02 10.22 38.39M
21/03/2024 10.14 10.23 0.39 10.10 10.27 58.29M
20/03/2024 10.05 10.19 1.39 9.95 10.19 79.16M
19/03/2024 9.91 10.05 1.93 9.89 10.07 64.99M
18/03/2024 9.79 9.86 1.65 9.70 9.90 48.02M
15/03/2024 9.78 9.70 1.02 9.60 9.80 154.15M
14/03/2024 10.13 9.80 2.39 9.76 10.16 191.81M
13/03/2024 9.93 10.04 1.31 9.87 10.14 141.08M
12/03/2024 9.90 9.91 0.71 9.87 10.03 108.16M
11/03/2024 9.75 9.84 0.41 9.72 9.91 58.06M
08/03/2024 9.78 9.80 0.00 9.73 9.82 52.90M
07/03/2024 9.90 9.80 0.51 9.77 9.91 86.73M
06/03/2024 10.11 9.85 2.09 9.84 10.13 129.99M
05/03/2024 10.19 10.06 1.37 10.05 10.21 45.09M
04/03/2024 10.33 10.20 1.07 10.16 10.42 56.08M
01/03/2024 10.08 10.31 2.47 10.06 10.35 125.04M
29/02/2024 10.01 10.06 0.10 9.97 10.07 46.72M
28/02/2024 10.09 10.05 0.79 9.97 10.17 41.92M
27/02/2024 9.96 10.13 2.11 9.96 10.13 63.75M
26/02/2024 9.96 9.92 0.60 9.86 10.00 56.32M
23/02/2024 10.09 9.98 1.09 9.94 10.15 56.63M
22/02/2024 10.08 10.09 0.40 9.99 10.16 68.77M
21/02/2024 9.85 10.05 0.50 9.72 10.20 144.10M
20/02/2024 9.86 10.00 0.70 9.85 10.03 51.97M
19/02/2024 9.96 9.93 0.10 9.85 9.97 34.20M
16/02/2024 9.81 9.94 2.04 9.77 10.00 120.22M
15/02/2024 9.81 9.74 0.00 9.70 9.85 71.19M
14/02/2024 9.83 9.74 0.91 9.68 9.85 59.77M
09/02/2024 9.97 9.83 1.50 9.82 10.07 72.76M
08/02/2024 10.18 9.98 1.86 9.98 10.28 56.10M
07/02/2024 10.20 10.17 0.10 10.10 10.21 41.49M
06/02/2024 9.95 10.16 2.30 9.94 10.20 99.58M
05/02/2024 9.95 9.93 0.20 9.83 10.02 63.61M
02/02/2024 9.94 9.95 1.52 9.91 10.11 97.50M
01/02/2024 9.88 9.80 0.61 9.78 9.94 61.38M
31/01/2024 9.88 9.86 0.50 9.85 10.09 115.55M
30/01/2024 9.92 9.91 0.20 9.80 9.98 79.88M
29/01/2024 10.04 9.93 0.99 9.90 10.07 71.60M
26/01/2024 9.98 10.03 0.60 9.98 10.09 36.84M
25/01/2024 10.02 9.97 0.20 9.85 10.03 79.72M
24/01/2024 9.87 9.99 1.83 9.87 10.08 77.15M
23/01/2024 9.72 9.81 1.55 9.71 9.86 49.67M
22/01/2024 9.68 9.66 0.51 9.61 9.78 71.96M
19/01/2024 9.70 9.71 0.62 9.65 9.78 54.48M
18/01/2024 9.70 9.65 0.52 9.58 9.78 101.01M
17/01/2024 9.67 9.60 1.13 9.58 9.76 94.72M
16/01/2024 9.93 9.71 2.40 9.66 9.94 115.12M
15/01/2024 9.90 9.95 0.50 9.82 9.95 58.79M
12/01/2024 9.94 9.90 0.10 9.88 10.03 97.15M
11/01/2024 10.00 9.91 0.40 9.86 10.04 110.10M
10/01/2024 10.15 9.95 1.96 9.86 10.16 199.86M
09/01/2024 10.62 10.15 4.58 10.13 10.66 163.53M
08/01/2024 10.60 10.64 0.38 10.53 10.70 65.98M
05/01/2024 10.54 10.60 0.47 10.42 10.60 73.04M
04/01/2024 10.65 10.55 0.94 10.50 10.70 76.54M
03/01/2024 10.73 10.65 0.65 10.61 10.75 93.66M
02/01/2024 10.83 10.72 0.83 10.67 10.89 88.87M
28/12/2023 10.74 10.81 0.74 10.70 10.83 60.90M
27/12/2023 10.76 10.73 0.28 10.70 10.77 49.28M
26/12/2023 10.76 10.76 0.00 10.68 10.79 45.81M
22/12/2023 10.69 10.76 0.84 10.64 10.83 89.56M
21/12/2023 10.48 10.67 2.19 10.48 10.68 83.71M
20/12/2023 10.57 10.44 1.22 10.42 10.62 69.35M
19/12/2023 10.60 10.57 1.12 10.49 10.70 128.73M
18/12/2023 10.50 10.69 2.58 10.47 10.84 104.21M
15/12/2023 10.60 10.42 1.78 10.42 10.70 290.98M
14/12/2023 10.45 10.61 1.72 10.44 10.71 104.23M
13/12/2023 10.22 10.43 2.04 10.16 10.43 80.27M
12/12/2023 10.33 10.22 0.68 10.17 10.36 129.81M
11/12/2023 10.24 10.29 0.49 10.22 10.32 54.82M
08/12/2023 10.22 10.24 0.39 10.11 10.30 92.70M
07/12/2023 10.29 10.20 0.29 10.17 10.35 70.40M
06/12/2023 10.43 10.23 1.15 10.21 10.45 81.47M
05/12/2023 10.33 10.35 0.58 10.20 10.35 66.32M
04/12/2023 10.33 10.29 0.58 10.21 10.36 80.94M
01/12/2023 10.31 10.35 1.17 10.16 10.40 101.97M
30/11/2023 10.40 10.23 1.25 10.21 10.41 131.81M
29/11/2023 10.45 10.36 0.57 10.30 10.53 94.08M
28/11/2023 10.39 10.42 0.00 10.32 10.49 74.55M
27/11/2023 10.43 10.42 0.29 10.31 10.47 117.69M
24/11/2023 10.71 10.39 3.33 10.37 10.75 130.48M
23/11/2023 10.78 10.75 0.09 10.71 10.87 61.79M
22/11/2023 10.80 10.76 0.09 10.72 10.87 126.80M
21/11/2023 10.69 10.75 0.56 10.60 10.82 178.48M
20/11/2023 10.96 10.69 4.62 10.60 11.08 479.27M
17/11/2023 11.10 11.21 1.84 11.06 11.26 229.47M
16/11/2023 11.05 11.00 1.35 10.87 11.13 293.64M
14/11/2023 10.59 10.86 3.05 10.57 10.95 274.46M
13/11/2023 10.62 10.53 0.17 10.46 10.74 350.08M
10/11/2023 10.19 10.55 4.08 10.19 10.57 122.19M
09/11/2023 10.18 10.14 0.27 10.04 10.31 150.81M
08/11/2023 10.25 10.11 0.45 10.11 10.30 155.42M
07/11/2023 10.17 10.16 1.56 10.09 10.46 329.18M
06/11/2023 9.97 10.00 0.37 9.91 10.11 58.17M
03/11/2023 9.85 9.96 3.14 9.79 9.96 74.29M
01/11/2023 9.50 9.66 1.74 9.46 9.66 105.12M
31/10/2023 9.50 9.50 0.39 9.39 9.54 151.34M
30/10/2023 9.45 9.46 0.49 9.36 9.52 47.83M
27/10/2023 9.45 9.41 0.00 9.37 9.54 51.22M
26/10/2023 9.26 9.41 1.69 9.23 9.45 54.99M
25/10/2023 9.34 9.26 0.30 9.19 9.35 44.33M
24/10/2023 9.51 9.28 1.08 9.28 9.51 66.88M
23/10/2023 9.17 9.39 1.80 9.15 9.44 95.60M
20/10/2023 9.28 9.22 1.18 9.16 9.33 97.17M
19/10/2023 9.29 9.33 0.49 9.24 9.47 94.67M
